Date,Clicks,Impressions,CTR,Position
2026-05-05,6,1126,0.53%,9.7
2026-05-06,3,1170,0.26%,11.5
2026-05-07,2,1157,0.17%,10.9
2026-05-08,1,894,0.11%,10.5
2026-05-09,2,883,0.23%,10.6
2026-05-10,1,862,0.12%,11.9
2026-05-11,1,978,0.1%,11.7
2026-05-12,2,949,0.21%,12.6
2026-05-13,5,975,0.51%,10
2026-05-14,3,1097,0.27%,11.2
2026-05-15,0,1249,0%,10.2
2026-05-16,0,1113,0%,12.2
2026-05-17,1,1170,0.09%,11.4
2026-05-18,5,839,0.6%,15.3
2026-05-19,1,395,0.25%,20.6
2026-05-20,3,469,0.64%,24.9
2026-05-21,3,510,0.59%,27.3
2026-05-22,0,521,0%,24.3
2026-05-23,3,372,0.81%,29.4
2026-05-24,1,363,0.28%,27.4
2026-05-25,0,334,0%,27.2
2026-05-26,2,426,0.47%,29.2
2026-05-27,5,452,1.11%,27.3
2026-05-28,0,463,0%,24.5
2026-05-29,3,832,0.36%,17.2
2026-05-30,1,1077,0.09%,12.7
2026-05-31,2,3355,0.06%,9.8
2026-06-01,3,2829,0.11%,13.3
