Country,Clicks,Impressions,CTR,Position
United States,45,22311,0.2%,14.64
India,6,340,1.76%,13.93
Canada,3,731,0.41%,6.41
Netherlands,1,47,2.13%,13.04
Bangladesh,1,44,2.27%,7.8
Poland,1,38,2.63%,7.05
Pakistan,1,35,2.86%,12.14
Somalia,1,1,100%,1
Brazil,0,498,0%,7.2
United Kingdom,0,202,0%,28.54
Mexico,0,197,0%,9.61
China,0,132,0%,7.79
Vietnam,0,125,0%,9.43
France,0,120,0%,8.83
Germany,0,108,0%,12.86
Argentina,0,95,0%,8.99
Spain,0,92,0%,7.9
Indonesia,0,83,0%,9.55
Australia,0,78,0%,16.6
Italy,0,74,0%,8.35
Philippines,0,74,0%,17.88
Thailand,0,54,0%,6.5
Colombia,0,53,0%,9.32
South Africa,0,49,0%,40.37
Singapore,0,47,0%,29.6
Ukraine,0,46,0%,8.61
Russia,0,45,0%,9.58
Hong Kong,0,44,0%,13.73
Ecuador,0,41,0%,8.17
Turkey,0,40,0%,6.85
Japan,0,38,0%,8.11
South Korea,0,37,0%,7.41
Romania,0,35,0%,7
Malaysia,0,33,0%,16.33
Saudi Arabia,0,29,0%,7.41
Taiwan,0,28,0%,6.86
Chile,0,27,0%,7.52
Ireland,0,27,0%,9.22
Sweden,0,27,0%,9.67
Portugal,0,25,0%,6.92
Switzerland,0,24,0%,7.5
Dominican Republic,0,23,0%,8.22
United Arab Emirates,0,23,0%,11.3
Morocco,0,23,0%,13.39
Venezuela,0,21,0%,11.05
Iran,0,20,0%,8.15
Belgium,0,19,0%,4.53
Serbia,0,19,0%,8
Czechia,0,18,0%,7.78
Egypt,0,17,0%,10.71
Greece,0,17,0%,14.29
Peru,0,16,0%,6.81
Norway,0,13,0%,6.46
Croatia,0,13,0%,7.23
Bulgaria,0,13,0%,8.15
New Zealand,0,13,0%,10.46
Iraq,0,13,0%,17.08
Tunisia,0,12,0%,12.17
Trinidad & Tobago,0,11,0%,6.27
Cuba,0,11,0%,7.64
Belarus,0,11,0%,8.45
Paraguay,0,11,0%,17.27
Israel,0,11,0%,17.64
Hungary,0,10,0%,6
Bolivia,0,10,0%,7.1
Denmark,0,10,0%,7.8
Jamaica,0,10,0%,7.9
Austria,0,10,0%,8.1
Kosovo,0,10,0%,9
Moldova,0,9,0%,7.78
Nigeria,0,9,0%,8.89
Cambodia,0,9,0%,11.22
Kenya,0,9,0%,11.33
Puerto Rico,0,8,0%,5.62
Nepal,0,8,0%,7.12
Honduras,0,8,0%,9.5
Uzbekistan,0,8,0%,10.25
Ethiopia,0,8,0%,11.62
Costa Rica,0,8,0%,12.5
Algeria,0,8,0%,12.5
Finland,0,7,0%,5.86
Ghana,0,7,0%,7.43
Sri Lanka,0,7,0%,12.43
Jordan,0,7,0%,13.29
Uruguay,0,7,0%,17.29
Myanmar (Burma),0,6,0%,10
Palestine,0,6,0%,10.5
Albania,0,5,0%,4.8
Slovakia,0,5,0%,7.2
Guatemala,0,5,0%,9.8
Kazakhstan,0,5,0%,17.8
Armenia,0,4,0%,7
Slovenia,0,4,0%,7
Estonia,0,4,0%,7.5
El Salvador,0,4,0%,10
Syria,0,4,0%,18.75
Azerbaijan,0,4,0%,21.75
Bahamas,0,3,0%,3.33
Qatar,0,3,0%,3.67
Lithuania,0,3,0%,4
Sudan,0,3,0%,5.67
Cyprus,0,3,0%,6
Tanzania,0,3,0%,6
Malta,0,3,0%,8
Barbados,0,3,0%,8.33
Bosnia & Herzegovina,0,3,0%,10
Mongolia,0,3,0%,11
Côte d’Ivoire,0,3,0%,11.33
Lebanon,0,3,0%,22.33
Latvia,0,2,0%,3
Congo - Brazzaville,0,2,0%,4
Zambia,0,2,0%,4.5
Burkina Faso,0,2,0%,5
Afghanistan,0,2,0%,6
Oman,0,2,0%,7
Luxembourg,0,2,0%,8
French Polynesia,0,2,0%,8
Panama,0,2,0%,12
Kyrgyzstan,0,2,0%,12.5
Mozambique,0,2,0%,12.5
Malawi,0,2,0%,12.5
Grenada,0,2,0%,14.5
Uganda,0,2,0%,38.5
Andorra,0,1,0%,2
Guinea,0,1,0%,2
Haiti,0,1,0%,2
Libya,0,1,0%,3
Northern Mariana Islands,0,1,0%,3
Swaziland,0,1,0%,3
Aruba,0,1,0%,4
Cayman Islands,0,1,0%,4
Macedonia,0,1,0%,4
Namibia,0,1,0%,4
St. Vincent & Grenadines,0,1,0%,4
Belize,0,1,0%,5
Kuwait,0,1,0%,5
Maldives,0,1,0%,5
Turks & Caicos Islands,0,1,0%,5
St. Lucia,0,1,0%,7
Unknown Region,0,1,0%,7
Dominica,0,1,0%,8
Bhutan,0,1,0%,9
Gambia,0,1,0%,9
Liberia,0,1,0%,9
Seychelles,0,1,0%,9
Yemen,0,1,0%,9
Zimbabwe,0,1,0%,9
Brunei,0,1,0%,10
Mauritius,0,1,0%,10
Papua New Guinea,0,1,0%,10
Georgia,0,1,0%,11
Guyana,0,1,0%,12
Senegal,0,1,0%,23
Bahrain,0,1,0%,44
